   X     Q^2  F2(Pb)EPS09/F2p Stheo     statEPS09   systEPS09    F2(Pb)DSSZ/F2p   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
0.1250 2.765 0.916411E+00 0.128915E-01 0.850335E-01 0.000000E+00 0.929691E+00 0.333231E-01 0.862657E-01 0.000000E+00
0.1250 3.264 0.937464E+00 0.124172E-01 0.313376E-01 0.000000E+00 0.950841E+00 0.333796E-01 0.317848E-01 0.000000E+00
0.1250 3.854 0.914135E+00 0.122567E-01 0.312313E-01 0.000000E+00 0.928922E+00 0.319994E-01 0.317365E-01 0.000000E+00
0.1250 4.550 0.938412E+00 0.138858E-01 0.266054E-01 0.000000E+00 0.953919E+00 0.322473E-01 0.270451E-01 0.000000E+00
0.1250 5.434 0.890295E+00 0.136514E-01 0.220674E-01 0.000000E+00 0.902369E+00 0.299648E-01 0.223667E-01 0.000000E+00
0.1250 6.627 0.991026E+00 0.141771E-01 0.247985E-01 0.000000E+00 0.100366E+01 0.326930E-01 0.251146E-01 0.000000E+00
0.1250 8.180 0.950887E+00 0.122880E-01 0.248018E-01 0.000000E+00 0.961534E+00 0.307140E-01 0.250795E-01 0.000000E+00
0.1250 9.928 0.961337E+00 0.111538E-01 0.229543E-01 0.000000E+00 0.971690E+00 0.305110E-01 0.232015E-01 0.000000E+00
0.125012.254 0.939995E+00 0.109004E-01 0.164383E-01 0.000000E+00 0.950341E+00 0.293270E-01 0.166192E-01 0.000000E+00
0.125015.720 0.938628E+00 0.921457E-02 0.183258E-01 0.000000E+00 0.949338E+00 0.287044E-01 0.185349E-01 0.000000E+00
0.125020.056 0.924648E+00 0.103603E-01 0.218535E-01 0.000000E+00 0.939252E+00 0.278737E-01 0.221987E-01 0.000000E+00
0.125026.154 0.952015E+00 0.107876E-01 0.254777E-01 0.000000E+00 0.966130E+00 0.281363E-01 0.258555E-01 0.000000E+00
0.125034.297 0.977846E+00 0.972527E-02 0.391719E-01 0.000000E+00 0.991265E+00 0.283482E-01 0.397094E-01 0.000000E+00
0.125042.086 0.992555E+00 0.112516E-01 0.198203E+00 0.000000E+00 0.100735E+01 0.284371E-01 0.201159E+00 0.000000E+00
0.1750 3.260 0.741080E+00 0.132303E-01 0.864593E-01 0.000000E+00 0.755975E+00 0.243641E-01 0.881971E-01 0.000000E+00
0.1750 3.808 0.908981E+00 0.126931E-01 0.163828E+00 0.000000E+00 0.926614E+00 0.294211E-01 0.167006E+00 0.000000E+00
0.1750 4.702 0.807372E+00 0.126882E-01 0.589258E-01 0.000000E+00 0.821873E+00 0.255902E-01 0.599842E-01 0.000000E+00
0.1750 5.523 0.940212E+00 0.133877E-01 0.421777E-01 0.000000E+00 0.956014E+00 0.293707E-01 0.428866E-01 0.000000E+00
